"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009654","CC","GO:0009654","photosystem II oxygen evolving complex","8/1554","20/26704",8.65950029314737e-06,0.000111130253762058,9.77358805016048e-05,"818532/825866/837178/824699/844245/827877/817409/836789",8
"GO:0022626","CC","GO:0022626","cytosolic ribosome","37/1554","308/26704",2.47873001051474e-05,0.000298494773479115,0.000262517618051808,"827947/828695/829529/829607/824768/825195/820230/818874/839395/822189/837274/824556/834821/819095/818234/829329/820853/837486/829064/824741/838092/829203/827159/838331/817059/828679/819652/816491/833828/820000/819853/819855/817766/824694/836535/833829/816672",37
"GO:0009522","CC","GO:0009522","photosystem I","7/1554","17/26704",2.58437033315251e-05,0.000298494773479115,0.000262517618051808,"828183/837358/826892/841653/840021/836525/815058",7
"GO:0099503","CC","GO:0099503","secretory vesicle","24/1554","174/26704",7.5294232109778e-05,0.000828236553207558,0.000728410365773792,"824565/826860/832185/817044/819742/818436/818961/839952/829150/832447/814816/835667/829313/838770/824072/844248/840792/843842/824073/843660/834905/826731/824893/838769",24
"GO:0015934","CC","GO:0015934","large ribosomal subunit","23/1554","180/26704",0.000330658387820555,0.00347191307211583,0.00305344827030465,"824768/825195/818874/822189/828951/834821/819095/818234/829329/820853/837486/824741/838092/816943/827159/838331/817059/839781/820000/819853/822403/819855/824694",23
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit","19/1554","142/26704",0.000594621308227608,0.0059720661826338,0.00525226144109512,"824768/825195/818874/822189/834821/819095/818234/829329/820853/837486/824741/838092/827159/838331/817059/820000/819853/819855/824694",19
"GO:0015935","CC","GO:0015935","small ribosomal subunit","15/1554","120/26704",0.00416327622389311,0.0400715336549712,0.0352417680355864,"829529/829607/820230/824556/829064/843836/817947/842796/829203/829614/828679/819652/816491/817766/836535",15
"GO:0030275","MF","GO:0030275","LRR domain binding","10/1549","25/26522",6.52950376160344e-07,0.000376099416668358,0.000362902945908065,"6241037/5008300/5008301/834486/838896/5008298/842862/834485/842861/838895",10
"GO:0019904","MF","GO:0019904","protein domain specific binding","10/1549","28/26522",2.23064232805637e-06,0.000479823070113227,0.000462987172916271,"6241037/5008300/5008301/834486/838896/5008298/842862/834485/842861/838895",10
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","39/1549","300/26522",2.49907849017306e-06,0.000479823070113227,0.000462987172916271,"827947/843871/841255/829607/824768/818874/822189/828951/824556/834821/818234/820853/837486/829064/834097/839273/843836/817947/831997/842796/831655/824741/829203/816943/834765/829614/818905/827159/838331/828679/819652/816491/839781/819853/822403/819855/817766/824694/836535",39
"GO:0005102","MF","GO:0005102","signaling receptor binding","22/1549","146/26522",4.05581992239613e-05,0.00584038068825043,0.00563545505006621,"836842/6241076/6241037/5008300/839389/827260/5008301/821963/834486/838896/838266/5008298/820386/842862/28718327/834485/842861/838895/2745743/818648/836598/826934",22
"GO:0005372","MF","GO:0005372","water transmembrane transporter activity","9/1549","36/26522",0.00017275131283003,0.0165841260316828,0.0160022268726764,"816186/826630/824510/818255/818293/840078/828439/844415/829662",9
"GO:0015250","MF","GO:0015250","water channel activity","9/1549","36/26522",0.00017275131283003,0.0165841260316828,0.0160022268726764,"816186/826630/824510/818255/818293/840078/828439/844415/829662",9
"GO:0016684","MF","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","14/1549","82/26522",0.000264358121804036,0.0217528968798749,0.0209896373402302,"838016/829479/843405/842909/844085/818746/824462/817901/824072/821731/820335/824073/826731/833954",14
"GO:0005198","MF","GO:0005198","structural molecule activity","45/1549","458/26522",0.000473397327722915,0.0314347262165282,0.0303317533668255,"827947/843871/841255/829607/824768/818874/816084/822189/828951/824556/834821/818234/820853/837486/829064/834097/839273/843836/817947/831997/842796/831655/817504/836119/824741/829203/818917/816943/834765/829614/818905/827159/838331/828679/819652/816491/826990/816317/839781/819853/822403/819855/817766/824694/836535",45
"GO:0009055","MF","GO:0009055","electron transfer activity","15/1549","97/26522",0.000491167597133254,0.0314347262165282,0.0303317533668255,"817044/838854/825866/838622/843555/817297/821604/814816/820871/829313/842386/827877/836751/840149/827996",15
"GO:0033612","MF","GO:0033612","receptor serine/threonine kinase binding","12/1549","70/26522",0.000684794594722778,0.039444168656032,0.0380601627382765,"6241037/5008300/5008301/834486/838896/5008298/842862/28718327/834485/842861/838895/826934",12
