gene_id,Cluster
AT1G55990,8
AT1G21360,8
AT1G07985,8
AT3G14060,8
AT1G32170,8
AT3G22275,8
AT2G40330,8
AT1G77640,8
AT5G56870,8
AT4G13235,8
AT1G61255,8
AT4G12410,8
AT3G15353,8
AT5G18600,8
AT3G11930,8
AT3G50820,8
AT5G41400,8
AT2G06845,8
AT5G24570,8
AT4G04223,8
AT4G18280,8
AT3G11280,8
AT1G70670,8
AT3G59880,8
AT2G05520,8
AT4G34230,8
AT2G46690,8
AT5G16250,8
AT5G63850,8
AT5G11950,8
AT1G66100,8
AT1G75750,8
AT1G07400,8
AT2G43340,8
AT1G17430,8
AT1G71960,8
AT5G54145,8
AT3G50440,8
AT2G03760,8
AT1G75240,8
AT2G30540,8
AT1G67195,8
AT3G14280,8
AT1G52550,8
AT1G62480,8
AT2G30890,8
AT2G04690,8
AT2G28200,8
AT2G39705,8
AT2G40670,8
AT3G29370,8
AT1G10480,8
AT2G31560,8
AT5G66800,8
AT3G50560,8
AT3G09190,8
AT5G64800,8
AT2G28085,8
AT5G49280,8
AT3G29120,8
AT2G25625,8
AT4G08770,8
AT1G62520,8
AT3G23430,8
AT2G46720,8
AT4G37730,8
AT5G48170,8
AT5G04190,8
AT3G17180,8
AT4G09110,8
AT1G22380,8
AT4G33560,8
AT4G30290,8
AT5G01305,8
AT5G14730,8
AT3G19200,8
AT4G09060,8
AT3G17580,8
AT1G55230,8
AT2G36026,8
AT5G02580,8
AT3G21420,8
AT2G38140,8
AT3G21055,8
AT3G44890,8
AT1G18730,8
AT3G26060,8
AT1G66430,8
AT2G46820,8
AT2G45180,8
AT4G09650,8
AT1G67870,8
AT3G16570,8
AT4G17560,8
AT3G24770,8
AT2G34620,8
AT5G66580,8
AT1G50900,8
AT5G58260,8
AT5G62280,8
AT1G34640,8
AT3G61870,8
AT5G18660,8
AT3G51510,8
AT1G17200,8
AT4G24770,8
AT1G61795,8
AT4G34630,8
AT2G44040,8
AT4G15990,8
AT5G48930,8
AT2G45470,8
AT3G01440,8
AT1G10960,8
AT3G61820,8
AT4G38840,8
AT3G29639,8
AT4G37930,8
AT4G30250,8
AT1G18590,8
AT2G42730,8
AT1G74070,8
AT1G52510,8
AT1G35180,8
AT1G65860,8
AT5G49170,8
AT1G16410,8
AT5G25160,8
AT1G09340,8
AT2G32880,8
AT3G18777,8
AT1G13250,8
AT3G54600,8
AT5G45820,8
AT5G38770,8
AT1G21510,8
AT5G63780,8
AT1G29510,8
AT1G50280,8
AT1G12010,8
AT5G26270,8
AT3G49510,8
AT3G12970,8
AT1G15550,8
AT1G19480,8
AT4G14630,8
AT5G11670,8
AT3G07160,8
AT3G44690,8
AT5G17330,8
AT4G23300,8
AT3G03640,8
AT2G21020,8
AT2G17050,8
AT3G03030,8
AT3G25180,8
AT2G28360,8
AT3G59100,8
AT2G18650,8
AT1G05773,8
AT2G00890,8
AT5G64120,8
AT1G02520,8
AT4G31060,8
AT3G04715,8
AT5G07640,8
AT5G52790,8
AT1G67120,8
AT1G77100,8
AT5G02190,8
AT1G08937,8
AT5G57150,8
AT5G07650,8
AT3G02225,8
AT3G14185,8
AT5G06825,8
AT3G09955,8
AT4G11230,8
AT1G75120,8
AT3G59710,8
AT5G15130,8
AT3G04275,8
AT4G16540,8
AT1G06020,8
AT5G16860,8
AT4G17470,8
AT5G01505,8
AT4G09375,8
AT2G02130,8
AT1G22690,8
AT3G27160,8
AT1G35680,8
AT4G16008,8
AT2G18660,8
AT3G07230,8
AT2G41650,8
AT2G43100,8
AT5G05960,8
AT3G23390,8
AT4G14870,8
AT1G77990,8
AT4G34590,8
AT5G22880,8
AT2G35470,8
AT2G16050,8
AT2G45860,8
AT5G40080,8
AT5G52390,8
AT5G65360,8
AT1G41880,8
AT1G69870,8
AT2G24440,8
AT3G02640,8
AT5G10400,8
AT4G08780,8
AT5G54190,8
AT2G27710,8
AT2G02100,8
AT3G57240,8
AT2G16580,8
AT3G52900,8
AT4G34790,8
AT5G15530,8
AT2G39880,8
AT2G42540,8
AT4G12890,8
AT5G52547,8
AT5G06190,8
AT5G45010,8
AT4G01975,8
AT3G05550,8
AT5G24920,8
AT4G04810,8
AT2G20362,8
AT4G39630,8
AT2G26580,8
AT4G14540,8
AT5G42070,8
AT3G21270,8
AT3G21460,8
AT4G33660,8
AT3G08940,8
AT1G09310,8
AT5G58390,8
AT5G53280,8
AT1G75460,8
AT1G79770,8
AT2G18230,8
AT4G15630,8
AT5G01090,8
AT1G19840,8
AT4G04630,8
AT3G14210,8
AT5G20110,8
AT5G16240,8
AT2G42610,8
AT5G64460,8
AT5G11550,8
AT3G48420,8
AT1G68530,8
AT3G19450,8
AT2G24580,8
AT5G14740,8
AT1G12080,8
AT3G24460,8
AT4G00490,8
AT1G75580,8
AT3G02380,8
AT1G71890,8
AT1G51440,8
AT5G19650,8
AT4G10310,8
AT2G26695,8
AT5G10310,8
AT5G50720,8
AT1G09812,8
AT1G69730,8
AT2G14255,8
AT4G05685,8
AT1G80800,8
AT4G36648,8
AT2G46560,8
AT4G00040,8
AT4G04920,8
AT2G19250,8
AT4G24450,8
AT4G13495,8
AT1G30420,8
AT1G50745,8
AT1G33390,8
AT4G32535,8
AT1G10050,8
AT2G42330,8
AT1G67650,8
AT1G09287,8
AT2G45540,8
AT3G50380,8
AT1G63100,8
AT4G24150,8
AT1G53410,8
AT3G56790,8
AT1G05023,8
AT1G77320,8
AT2G31751,8
AT5G56850,8
AT4G28790,8
AT1G17260,8
AT3G05415,8
AT1G35710,8
AT1G53610,8
AT5G22794,8
AT3G41762,8
AT4G06120,8
AT3G42640,8
AT4G30830,8
AT4G01190,8
ArthCp054,8
ArthCp034,8
DA397_mgp30,8
DA397_mgp02,8
AT5G42690,8
AT4G02482,8
AT2G12460,8
AT2G05825,8
AT1G31950,8
DA397_mgp01,8
ArthCp079,8
AT5G25970,8
AT1G73360,8
AT1G09170,8
AT3G60970,8
