,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0010227,BP,GO:0010227,floral organ abscission,10/1678,30/21061,0.333333333333333,4.18375049662296,5.13433681470909,6.83856105884282e-05,0.000731446092200206,0.000554409659248753,AT2G41850/AT1G68765/AT3G56350/AT3G25655/AT4G38000/AT2G31880/AT4G28490/AT4G35600/AT1G51660/AT3G21220,10
GO:0009850,BP,GO:0009850,auxin metabolic process,16/1678,69/21061,0.231884057971014,2.91043512808554,4.67675474357535,8.1224786205706e-05,0.000858729098093851,0.000650885570020778,AT3G44300/AT1G05680/AT5G20960/AT1G51760/AT5G54140/AT4G39950/AT1G25220/AT3G02875/AT5G05730/AT4G23850/AT3G18485/AT5G27520/AT5G13370/AT3G46110/AT1G14130/AT4G14430,16
GO:0097035,BP,GO:0097035,regulation of membrane lipid distribution,8/1678,20/21061,0.4,5.02050059594756,5.29269178836983,8.41556514079995e-05,0.000879546779572749,0.000666664618973445,AT3G25610/AT5G04930/AT3G13900/AT1G68710/AT1G72700/AT1G13210/AT2G23810/AT5G44240,8
GO:0006817,BP,GO:0006817,phosphate ion transport,11/1678,38/21061,0.289473684210526,3.63325701022521,4.78026932616043,0.000127235870284655,0.00126475221060127,0.000958636391103493,AT3G48850/AT1G76430/AT5G09470/AT5G43350/AT3G01970/AT2G32830/AT1G67940/AT2G22500/AT4G25350/AT3G15990/AT3G52190,11
GO:0072330,BP,GO:0072330,monocarboxylic acid biosynthetic process,37/1678,246/21061,0.150406504065041,1.88778985823231,4.12101494240022,0.00013430355590589,0.00132779029055066,0.0010064169737016,AT1G19250/AT4G18350/AT2G13810/AT3G01420/AT1G65690/AT3G44300/AT1G75000/AT5G52810/AT1G73805/AT1G30100/AT5G16230/AT2G33380/AT5G44585/AT1G74710/AT3G02610/AT4G39030/AT5G26920/AT4G08850/AT3G52430/AT3G09830/AT2G18950/AT1G55020/AT3G25780/AT4G39950/AT5G23190/AT2G33150/AT1G64400/AT5G62570/AT5G51830/AT3G19260/AT4G25800/AT4G16760/AT4G23850/AT2G41070/AT1G20780/AT2G27150/AT1G16540,37
GO:1901699,BP,GO:1901699,cellular response to nitrogen compound,14/1678,58/21061,0.241379310344828,3.02961242858904,4.55408474618319,0.00014120051275034,0.00138847170871168,0.00105241129197622,AT5G11210/AT3G01420/AT5G48410/AT5G48400/AT2G29110/AT2G29100/AT2G29120/AT3G07520/AT2G33580/AT4G08850/AT1G64280/AT1G08090/AT3G21630/AT1G59870,14
GO:0010118,BP,GO:0010118,stomatal movement,28/1678,168/21061,0.166666666666667,2.09187524831148,4.18063183770226,0.000149705820438028,0.00145644651904869,0.00110393373749655,AT1G15520/AT1G51850/AT1G08860/AT5G59220/AT1G05100/AT2G33380/AT5G43410/AT1G74710/AT2G47800/AT3G59700/AT4G33050/AT1G64060/AT1G07000/AT3G56400/AT4G12290/AT1G09540/AT4G16110/AT2G17290/AT2G39050/AT3G17000/AT2G39660/AT3G11820/AT1G30270/AT3G21220/AT2G41070/AT4G01370/AT1G16540/AT5G54160,28
GO:0010555,BP,GO:0010555,response to mannitol,9/1678,27/21061,0.333333333333333,4.18375049662296,4.87051221413852,0.000158279158088754,0.00153170677325043,0.00116097828573038,AT2G33080/AT2G32680/AT3G05360/AT4G02280/AT4G34390/AT5G20830/AT3G57540/AT1G01140/AT5G54160,9
GO:0042180,BP,GO:0042180,cellular ketone metabolic process,26/1678,152/21061,0.171052631578947,2.14692459695126,4.17546351482641,0.000165277821439331,0.00159101650217124,0.00120593291321661,AT1G65690/AT1G44542/AT1G73805/AT1G74710/AT5G26920/AT1G68320/AT3G52430/AT4G34180/AT3G09830/AT1G06570/AT3G28930/AT2G31350/AT5G62570/AT1G06130/AT2G40000/AT4G25800/AT2G30490/AT2G41090/AT4G01660/AT2G41070/AT3G28940/AT1G20780/AT1G29690/AT4G13040/AT1G28380/AT2G41010,26
GO:0170041,BP,GO:0170041,non-proteinogenic amino acid metabolic process,10/1678,33/21061,0.303030303030303,3.80340954238451,4.74197431012817,0.000168912725863594,0.00161749411311264,0.00122600198381016,AT1G01480/AT1G44542/AT4G34180/AT3G17810/AT2G39030/AT5G46180/AT5G64370/AT2G40000/AT4G17830/AT2G03800,10
